Auction ID,Bank,Asset,City,Bid Date,Reserve Price,EMD,Event Type,DRT
215978,Central Bank Of India,"Office No. 3, 1st floor, Eastern 
Chamber Premises CHS Ltd, 128-A, 
Poona Street...I am interested",Mumbai,12 Mar 2026,"28,00,000.00","3,00,000.00",DRT,Mumbai DRT-II
221416,J.C. Flowers Asset Reconstruction Pvt. Ltd.,"Flat No. 1502, 15th Floor, adm. 102.23 sq. mtrs. Building No. 11. Bhaktidham Com...I am interested",Mumbai,13 Mar 2026,"2,10,00,000.00","21,00,000.00",SARFAESI,--
220605,Central Bank Of India,"Parcel of property office premises- Unit Nos. A-1036 to 1042, at Oberoi Garden E...I am interested",Mumbai,16 Mar 2026,"3,00,00,000.00","30,00,000.00",DRT,Mumbai DRT-I
220015,PNB Housing Finance Limited,"SHOP NO 201,2ND FLOOR,DIPITI SOLITAIRE,JUNCTION OF MG ROAD & LBS MARG,GHATKOPAR...I am interested",Mumbai,17 Mar 2026,"4,50,86,000.00","45,08,600.00",SARFAESI,--
220016,PNB Housing Finance Limited,"FLAT 218,2ND FLOOR,1,PRABHADEVI SRA CHSL,KASHINATH DHURU WADI,RAJABHAU DESAI RO...I am interested",Mumbai,17 Mar 2026,"67,05,000.00","6,70,500.00",SARFAESI,--
221660,IDBI BANK Ltd.,"All that piece & parcel of the premises at Flat No. 303, 3rd Floor, Contare Heig...I am interested",Mumbai,18 Mar 2026,"2,80,00,000.00","28,00,000.00",SARFAESI,--
221333,Axis Bank,"All the piece and parcel of FLAT NO 1201, 12TH FLOOR, B WING, TOWER B, IMPERIAL ...I am interested",Mumbai,19 Mar 2026,"4,51,51,600.00","45,15,160.00",SARFAESI,--
220565,NKGSB CO-OP BANK LTD,"All that piece and parcel of Office No. MZ 2-C, having an area admeasuring about...I am interested",Mumbai,23 Mar 2026,"20,00,000.00","2,00,000.00",SARFAESI,--
220608,Axis Bank,"All the piece and parcel of FLAT NO 404, 4TH FLOOR, SOPHISTICA, CASA BELLA GOLD,...I am interested",Mumbai,23 Mar 2026,"48,38,400.00","4,83,840.00",SARFAESI,--
222048,ASREC (India) Limited,"Office No.402, Adms. 1022 Sq. ft. built up area equivalent to 95 sq. meters situ...I am interested",Mumbai,24 Mar 2026,"1,85,00,000.00","18,50,000.00",SARFAESI,--
