district_code,district_name,taluka_code,taluka_name,village_code,village_name_marathi,village_name_english,gis_code,xmin,ymin,xmax,ymax
26,Ahmednagar,01,Ahmednagar CTSO,000000000000002609,Ahmednagar,Ahmednagar,,,,,
26,Ahmednagar,01,Ahmednagar CTSO,000000000000002603,Kopargaon,Kopargaon,,,,,
26,Ahmednagar,01,Ahmednagar CTSO,000000000000002608,Pathrdi,Pathrdi,,,,,
26,Ahmednagar,01,Ahmednagar CTSO,000000000000002604,Rahata,Rahata,,,,,
26,Ahmednagar,01,Ahmednagar CTSO,000000000000002610,Rahuri,Rahuri,,,,,
26,Ahmednagar,01,Ahmednagar CTSO,000000000000002602,Samgamner,Samgamner,,,,,
26,Ahmednagar,01,Ahmednagar CTSO,000000000000002612,Shrigonda,Shrigonda,,,,,
26,Ahmednagar,01,Ahmednagar CTSO,000000000000002605,Shrirampur,Shrirampur,,,,,
26,Ahmednagar,04,Rahata,000000000000001100,Shirdi,Shirdi,,,,,
26,Ahmednagar,10,Rahuri,000000000000019100,Dewalali,Dewalali,,,,,
05,Akola,01,Akola CTSO,000000000000000504,Akola,Akola,,,,,
05,Akola,01,Akola CTSO,000000000000000502,Akot,Akot,,,,,
05,Akola,01,Akola CTSO,000000000000000503,Balapur,Balapur,,,,,
05,Akola,01,Akola CTSO,000000000000000505,Murtizapur,Murtizapur,,,,,
07,Amravati,01,Amravati CTSO,000000000000000704,Achalpur,Achalpur,,,,,
07,Amravati,01,Amravati CTSO,000000000000000703,Anjangaon Surji,Anjangaon Surji,,,,,
07,Amravati,01,Amravati CTSO,000000000000000702,Chikhaldara,Chikhaldara,,,,,
07,Amravati,01,Amravati CTSO,000000000000000711,Daryapur,Daryapur,,,,,
07,Amravati,01,Amravati CTSO,000000000000000714,Dhamangaon Railway,Dhamangaon Railway,,,,,
07,Amravati,01,Amravati CTSO,000000000000000706,Morshi,Morshi,,,,,
07,Amravati,01,Amravati CTSO,000000000000000707,Warud,Warud,,,,,
19,Aurangabad,01,Aurangabad CTSO,000000000000001905,Aurangabad,Aurangabad,,,,,
19,Aurangabad,01,Aurangabad CTSO,000000000000001909,Paithan,Paithan,,,,,
19,Aurangabad,01,Aurangabad CTSO,000000000000001903,Sillod,Sillod,,,,,
19,Aurangabad,01,Aurangabad CTSO,000000000000001907,Waijapur,Waijapur,,,,,
19,Aurangabad,10,CTSO Aurangabad,000000000000002100,Harsul,Harsul,,,,,
10,Bhandara,01,Bhandara CTSO,000000000000001003,Bhandara,Bhandara,,,,,
10,Bhandara,01,Bhandara CTSO,000000000000001006,Pawani,Pawani,,,,,
10,Bhandara,01,Bhandara CTSO,000000000000001001,Tumsar,Tumsar,,,,,
27,Bid,01,Bid CTSO,000000000000002707,Bid,Bid,,,,,
27,Bid,01,Bid CTSO,000000000000002710,Parali,Parali,,,,,
04,Buldhana,01,Buldhana CTSO,000000000000000410,Buldhana,Buldhana,,,,,
04,Buldhana,01,Buldhana CTSO,000000000000000409,Chikhali,Chikhali,,,,,
04,Buldhana,01,Buldhana CTSO,000000000000000411,Deolgaon Raja,Deolgaon Raja,,,,,
04,Buldhana,01,Buldhana CTSO,000000000000000401,Jalgaon Jamod,Jalgaon Jamod,,,,,
04,Buldhana,01,Buldhana CTSO,000000000000000407,Khamgaon,Khamgaon,,,,,
04,Buldhana,01,Buldhana CTSO,000000000000000413,Lonar,Lonar,,,,,
04,Buldhana,01,Buldhana CTSO,000000000000000405,Malakapur,Malakapur,,,,,
04,Buldhana,01,Buldhana CTSO,000000000000000404,Nandura,Nandura,,,,,
04,Buldhana,01,Buldhana CTSO,000000000000000403,Shegaon,Shegaon,,,,,
13,Chandrapur,01,Chandrapur CTSO,000000000000001311,Ballarpur,Ballarpur,,,,,
13,Chandrapur,01,Chandrapur CTSO,000000000000001307,Bhadrawati,Bhadrawati,,,,,
13,Chandrapur,01,Chandrapur CTSO,000000000000001304,Bramhapuri,Bramhapuri,,,,,
13,Chandrapur,01,Chandrapur CTSO,000000000000001308,Chandrapur,Chandrapur,,,,,
13,Chandrapur,01,Chandrapur CTSO,000000000000001309,Mul ,Mul ,,,,,
13,Chandrapur,01,Chandrapur CTSO,000000000000001301,Warora,Warora,,,,,
02,Dhule,01,Dhule CTSO,000000000000002100,Devapur,Devapur,,,,,
02,Dhule,01,Dhule CTSO,000000000000016100,Dhule Gaothan 02,Dhule Gaothan 02,,,,,
02,Dhule,01,Dhule CTSO,000000000000015100,Dhule Gaothn 01,Dhule Gaothn 01,,,,,
02,Dhule,01,Dhule CTSO,000000000000003100,Mahindale,Mahindale,,,,,
02,Dhule,01,Dhule CTSO,000000000000000202,Shindakheda,Shindakheda,,,,,
02,Dhule,01,Dhule CTSO,000000000000000201,Shirpur,Shirpur,,,,,
02,Dhule,01,Dhule CTSO,000000000000005100,Walwadi,Walwadi,,,,,
02,Dhule,02,Shindkheda,000000000000030100,Dondaicha ,Dondaicha ,,,,,
12,Gadchiroli,01,Gadchiroli CTSO,000000000000001206,Gadchiroli,Gadchiroli,,,,,
11,Gondiya,01,Gondiya CTSO,000000000000001103,Gondiya,Gondiya,,,,,
16,Hingoli,01,Hingoli CTSO,000000000000001602,Hingoli,Hingoli,,,,,
03,Jalgaon,01,Jalgaon CTSO,000000000000000310,Amalner,Amalner,,,,,
03,Jalgaon,01,Jalgaon CTSO,000000000000000306,Bhusawal,Bhusawal,,,,,
03,Jalgaon,01,Jalgaon CTSO,000000000000000313,Chalisgaon,Chalisgaon,,,,,
03,Jalgaon,01,Jalgaon CTSO,000000000000000309,Dharangaon,Dharangaon,,,,,
03,Jalgaon,01,Jalgaon CTSO,000000000000000308,Erandol,Erandol,,,,,
03,Jalgaon,01,Jalgaon CTSO,000000000000000316,Jalgaon CTSO,Jalgaon CTSO,,,,,
03,Jalgaon,01,Jalgaon CTSO,000000000000000315,Jamner,Jamner,,,,,
03,Jalgaon,01,Jalgaon CTSO,000000000000000314,Pachora,Pachora,,,,,
03,Jalgaon,01,Jalgaon CTSO,000000000000000311,Parola,Parola,,,,,
03,Jalgaon,01,Jalgaon CTSO,000000000000000303,Raver,Raver,,,,,
03,Jalgaon,03,Raver,000000000000013100,Sawda,Sawda,,,,,
03,Jalgaon,02,Yaval,000000000000002100,Faijpur,Faijpur,,,,,
18,Jalna,01,Jalna CTSO,000000000000001805,Ambad,Ambad,,,,,
18,Jalna,01,Jalna CTSO,000000000000001803,Jalna,Jalna,,,,,
34,Kolhapur,03,Hatkangale,000000000000031100,Wadagaun,Wadagaun,,,,,
34,Kolhapur,01,Kolhapur CTSO,000000000000003411,Gadhinglaj,Gadhinglaj,,,,,
34,Kolhapur,01,Kolhapur CTSO,000000000000003408,Kagal,Kagal,,,,,
34,Kolhapur,04,Shirol,000000000000006100,Jayasingpur,Jayasingpur,,,,,
34,Kolhapur,04,Shirol,000000000000034100,Kurundwad,Kurundwad,,,,,
28,Latur,01,Latur CTSO,000000000000002807,Ausa,Ausa,,,,,
28,Latur,01,Latur CTSO,000000000000002801,Latur,Latur,,,,,
23,Mumbai City,01,Mumbai City,000000000000000008,BHULESHWAR,BHULESHWAR,,,,,
23,Mumbai City,01,Mumbai City,000000000000000014,BYCULLA,BYCULLA,,,,,
23,Mumbai City,01,Mumbai City,000000000000000003,COLABA,COLABA,,,,,
23,Mumbai City,01,Mumbai City,000000000000000004,DADAR-NAIGAUM,DADAR-NAIGAUM,,,,,
23,Mumbai City,01,Mumbai City,000000000000000013,DHARAVI,DHARAVI,,,,,
23,Mumbai City,01,Mumbai City,000000000000000001,FORT,FORT,,,,,
23,Mumbai City,01,Mumbai City,000000000000000010,GIRGAON,GIRGAON,,,,,
23,Mumbai City,01,Mumbai City,000000000000000002,LOWER PAREL,LOWER PAREL,,,,,
23,Mumbai City,01,Mumbai City,000000000000000011,MAHIM,MAHIM,,,,,
23,Mumbai City,01,Mumbai City,000000000000000007,MALABAR-CAMBALA HILL,MALABAR-CAMBALA HILL,,,,,
23,Mumbai City,01,Mumbai City,000000000000000015,MANDVI,MANDVI,,,,,
23,Mumbai City,01,Mumbai City,000000000000000006,MATUNGA,MATUNGA,,,,,
23,Mumbai City,01,Mumbai City,000000000000000012,MAZGAON,MAZGAON,,,,,
23,Mumbai City,01,Mumbai City,000000000000000009,PAREL-SHIVDI,PAREL-SHIVDI,,,,,
