RERA_No,Project_Name,Promoter,State,Pincode,District,Last_Modified,Details_Link
 P50500000005,GREEN CITY 3,GREEN SPACE INFRA VENTURES,# P50500000005,GREEN SPACE INFRA VENTURES,MAHARASHTRA,441108,https://maharerait.maharashtra.gov.in/public/project/view/1
 P51700000002,UNNATHI WOODS PHASE VII A,UNNATHI ESTATES,# P51700000002,UNNATHI ESTATES,MAHARASHTRA,400615,https://maharerait.maharashtra.gov.in/public/project/view/3
 P51700000001,MAYFAIR VISHWARAJA,MAYFAIR HOUSING PRIVATE LIMITED,# P51700000001,MAYFAIR HOUSING PRIVATE LIMITED,MAHARASHTRA,421605,https://maharerait.maharashtra.gov.in/public/project/view/4
 P51700002065,MERIDIAN MYSTIC,MANOJ AWASTHI,# P51700002065,MANOJ AWASTHI,MAHARASHTRA,400706,https://maharerait.maharashtra.gov.in/public/project/view/5
 P51500011537,SAINATHVILLA Phase II,Sainath Builders & Developers,# P51500011537,Sainath Builders & Developers,MAHARASHTRA,431001,https://maharerait.maharashtra.gov.in/public/project/view/8
 P52100012200,NANDHA RESIDENCY,AMIT C THAKUR,# P52100012200,AMIT C THAKUR,MAHARASHTRA,412202,https://maharerait.maharashtra.gov.in/public/project/view/11
 P50500002280,SHIVAM PARK,SAMBHAV INFRA,# P50500002280,SAMBHAV INFRA,MAHARASHTRA,441108,https://maharerait.maharashtra.gov.in/public/project/view/13
 P51800002451,VIKI HEIGHTS,Divij Developers,# P51800002451,Divij Developers,MAHARASHTRA,400077,https://maharerait.maharashtra.gov.in/public/project/view/15
 P50500000348,ROYAL RESIDENCY,DESIGN DEVELOPERS PRIVATE LIMITED,# P50500000348,DESIGN DEVELOPERS PRIVATE LIMITED,MAHARASHTRA,440015,https://maharerait.maharashtra.gov.in/public/project/view/16
 P52300000176,SHIVNERI APPARTMENT,SHIVNERI DEVELOPERS ASHTI,# P52300000176,SHIVNERI DEVELOPERS ASHTI,MAHARASHTRA,414203,https://maharerait.maharashtra.gov.in/public/project/view/18
