village_name,village_code,has_data
अकोली,271800070230180000,True
अंगलगांव,271800070229870000,True
आनंदगांव,271800070230360000,True
आनंदवाडी,271800070229930000,True
आष्टी,271800070230240000,True
आसणगांव,271800070230130000,True
आंतरवाला,271800070230440000,True
आंबा,271800070229590000,True
उस्मानपुर,271800070229830000,True
एकरुखा,271800070229650000,True
एदलापुर,271800070229470000,True
कनकवाडी,271800070230280000,True
कावजवळा,271800070229570000,True
का-हाळा,271800070230140000,True
कोकाटे हादगांव,271800070230310000,True
कोरेगांव,271800070229680000,True
कंडारी,271800070229500000,True
खडकी,271800070229510000,True
खांडवी,271800070229960000,True
खांडवी वाडी,271800070230030000,True
गणेशपुर,271800070229860000,True
गोळेगांव,271800070230410000,True
चांगतपुरी,271800070230400000,True
चिंचोली,271800070229720000,True
डोल्हारा,271800070229560000,True
ढोकमाळतांडा,271800070230190000,True
ढोणवाडी,271800070230210000,True
तोरणा,271800070229890000,True
दहीफळ भोंगाने,271800070229520000,True
देवला,271800070229800000,True
दैठणा खु.,271800070230020000,True
दैठणा बु.,271800070230060000,True
नागापुर,271800070229660000,True
नांद्रा,271800070229530000,True
परतवाडी,271800070230200000,True
परतूर,271800074180400000,True
पळशी,271800070230270000,True
पाटोदा,271800070230090000,True
पाडळी,271800070229690000,True
पांडेपोखरी,271800070230120000,True
पिंपरखेडा,271800070229490000,True
पिंपळी धामणगांव,271800070230320000,True
पिंप्रुळा,271800070229840000,True
फिरोजाबाद,271800070230430000,True
फुलवाडी,271800070230260000,True
बाणाची वाडी,271800070230330000,True
बाबई,271800070229550000,True
बाबुलतारा,271800070229540000,True
ब्रम्हवडगांव,271800070229600000,True
ब्राम्हणवाडी,271800070230170000,True
ब्राम्हणी,271800070229920000,True
मसला,271800070229580000,True
मापेगांव खु.,271800070229700000,True
मापेगांव बु,271800070229710000,True
माव,271800070230100000,True
येणोरा,271800070230080000,True
राणीवाहेगांव,271800070229790000,True
रायगव्हाण,271800070230250000,True
रायपुर,271800070229940000,True
रेवलगांव,271800070229770000,True
रोहीणा खु.,271800070229640000,True
रोहीना बु.,271800070229630000,True
रंगोपंत टाकळी,271800070229850000,True
लांडकदरा,271800070230370000,True
लिखीत पिंपरी,271800070230160000,True
लिंगसा,271800070230150000,True
लोणी खु.,271800070230350000,True
वडार वाडी,271800070230340000,True
वरफळ,271800070229730000,True
वरफळवाडी,271800070229740000,True
वलखेड,271800070230000000,True
वाघाडी,271800070229460000,True
वाटूर,271800070229480000,True
वाढोना,271800070229610000,True
वाहेगांव श्रीष्टी,271800070230040000,True
वाहेगांव सातारा,271800070230220000,True
वैजोडा,271800070229670000,True
शेलवडा,271800070229990000,True
शेवंगा,271800070229910000,True
श्रीधर जवळा,271800070229620000,True
श्रीष्टी,271800070230050000,True
श्रीष्टी तांडा,271800070230070000,True
सातारा वाहेगांव,271800070230290000,True
सातोना खु.,271800070229810000,True
सातोना बु.,271800070229820000,True
सालगांव,271800070229760000,True
सावरगांव बु.,271800070230390000,True
सांवगी गंगाकिनारा,271800070230420000,True
सिरसगांव,271800070229950000,True
सिंगोना,271800070229970000,True
सुरुमगांव,271800070230110000,True
सेलगांव,271800070229880000,True
सोयंजना,271800070229980000,True
संकणपुरी,271800070230380000,True
हनवडी,271800070229900000,True
हातडी,271800070230010000,True
हास्तुरतांडा,271800070230230000,True
होंडेगांव,271800070229780000,True
